iter	Passed	Remaining
201	589	2328
202	592	2325
203	595	2324
204	598	2320
205	601	2317
206	604	2313
207	606	2310
208	609	2307
209	612	2305
210	615	2301
211	618	2298
212	620	2292
213	623	2289
214	626	2286
215	629	2285
216	632	2282
217	635	2278
218	637	2275
219	640	2271
220	643	2269
221	646	2266
222	649	2262
223	652	2259
224	655	2256
225	658	2253
226	661	2251
227	664	2248
228	666	2245
229	669	2241
230	672	2237
231	675	2234
232	678	2233
233	681	2230
234	684	2226
235	686	2223
236	689	2220
237	692	2218
238	695	2215
239	698	2212
240	701	2209
241	704	2205
242	707	2203
243	710	2200
244	713	2197
245	715	2193
246	718	2191
247	721	2188
248	725	2187
249	728	2184
250	730	2181
251	733	2177
252	736	2174
253	739	2172
254	742	2168
255	745	2165
256	747	2162
257	750	2158
258	753	2155
259	756	2152
260	759	2149
261	761	2146
262	764	2143
263	767	2140
264	770	2136
265	773	2135
266	776	2132
267	779	2128
268	782	2125
269	784	2121
270	788	2120
271	790	2117
272	793	2113
273	796	2110
274	799	2107
275	801	2103
276	804	2101
277	807	2097
278	810	2094
279	813	2091
280	816	2088
281	818	2085
282	822	2083
283	825	2080
284	827	2077
285	830	2074
286	833	2070
287	836	2069
288	839	2065
289	842	2062
290	845	2059
291	848	2056
292	851	2053
293	854	2050
294	856	2047
295	859	2044
296	862	2041
297	865	2038
298	868	2037
299	871	2033
300	874	2030
301	877	2027
302	879	2024
303	882	2020
304	886	2019
305	888	2016
306	891	2012
307	894	2009
308	897	2006
309	899	2002
310	902	2000
311	905	1997
312	908	1993
313	911	1990
314	913	1987
315	916	1984
316	919	1982
317	922	1979
318	925	1975
319	928	1972
320	931	1969
321	934	1967
322	937	1964
323	940	1961
324	942	1958
325	945	1955
326	948	1952
327	951	1949
328	954	1946
329	957	1943
330	960	1940
331	962	1937
332	966	1935
333	969	1932
334	971	1929
335	974	1926
336	977	1923
337	980	1920
338	983	1917
339	986	1914
340	989	1911
341	992	1908
342	995	1906
343	998	1903
344	1001	1900
345	1005	1901
346	1008	1898
347	1011	1895
348	1014	1893
349	1017	1890
350	1020	1886
351	1023	1883
352	1026	1880
353	1029	1878
354	1032	1875
355	1035	1872
356	1037	1869
357	1040	1866
358	1043	1862
359	1046	1860
360	1049	1857
361	1051	1854
362	1054	1851
363	1057	1848
364	1060	1845
365	1063	1842
366	1066	1839
367	1069	1836
368	1072	1833
369	1074	1830
370	1078	1828
371	1081	1825
372	1083	1821
373	1086	1818
374	1089	1815
375	1092	1812
376	1095	1809
377	1098	1806
378	1101	1804
379	1103	1801
380	1106	1798
381	1109	1795
382	1112	1792
383	1115	1790
384	1118	1786
385	1121	1783
386	1124	1780
387	1127	1778
388	1130	1775
389	1133	1772
390	1136	1769
391	1138	1766
392	1141	1763
393	1144	1760
394	1147	1757
395	1150	1754
396	1153	1751
397	1155	1748
398	1158	1745
399	1161	1742
400	1164	1739
401	1167	1736
402	1170	1733
403	1172	1730
404	1175	1727
405	1178	1724
406	1181	1721
407	1184	1718
408	1186	1714
409	1189	1711
410	1192	1708
411	1195	1705
412	1197	1702
413	1200	1699
414	1203	1696
415	1206	1693
416	1209	1690
417	1212	1687
418	1214	1684
419	1217	1681
420	1220	1678
421	1223	1675
422	1226	1672
423	1228	1669
424	1231	1666
425	1234	1663
426	1237	1659
427	1239	1656
428	1242	1653
429	1245	1650
430	1248	1647
431	1250	1644
432	1253	1641
433	1256	1639
434	1259	1636
435	1262	1632
436	1265	1629
437	1267	1626
438	1270	1623
439	1273	1620
440	1276	1617
441	1278	1614
442	1281	1611
443	1284	1608
444	1286	1605
445	1289	1602
446	1292	1599
447	1295	1596
448	1298	1593
449	1300	1589
450	1303	1586
451	1306	1584
452	1309	1581
453	1312	1578
454	1315	1575
455	1317	1572
456	1320	1569
457	1323	1566
458	1326	1563
459	1329	1560
460	1331	1557
461	1334	1554
462	1337	1551
463	1340	1548
464	1342	1545
465	1345	1542
466	1348	1539
467	1351	1535
468	1354	1533
469	1357	1530
470	1359	1527
471	1362	1524
472	1365	1521
473	1367	1518
474	1371	1515
475	1374	1512
476	1376	1509
477	1379	1506
478	1382	1503
479	1385	1500
480	1388	1497
481	1390	1494
482	1393	1491
483	1396	1488
484	1398	1485
485	1402	1482
486	1404	1479
487	1407	1476
488	1410	1473
489	1412	1470
490	1415	1467
491	1418	1464
492	1421	1461
493	1424	1458
494	1426	1455
495	1429	1452
496	1432	1449
497	1435	1446
498	1438	1444
499	1441	1441
500	1443	1438
501	1446	1435
502	1449	1432
503	1452	1429
504	1455	1426
505	1458	1423
506	1460	1420
507	1463	1417
508	1466	1414
509	1469	1411
510	1471	1408
511	1474	1405
512	1477	1402
513	1479	1399
514	1482	1396
515	1485	1393
516	1488	1390
517	1491	1387
518	1493	1384
519	1496	1381
520	1499	1378
521	1502	1375
522	1504	1372
523	1507	1369
524	1510	1366
525	1512	1363
526	1516	1360
527	1518	1357
528	1521	1354
529	1524	1351
530	1526	1348
531	1529	1345
532	1532	1342
533	1535	1339
534	1537	1336
535	1540	1333
536	1543	1330
537	1545	1327
538	1549	1324
539	1551	1321
540	1554	1318
541	1557	1315
542	1559	1312
543	1562	1309
544	1565	1307
545	1568	1304
546	1570	1301
547	1573	1298
548	1576	1294
549	1579	1292
550	1582	1289
551	1584	1286
552	1587	1283
553	1590	1280
554	1592	1277
555	1596	1274
556	1598	1271
557	1601	1268
558	1604	1265
559	1606	1262
560	1609	1259
561	1612	1256
562	1615	1253
563	1618	1250
564	1620	1247
565	1623	1244
566	1626	1241
567	1628	1238
568	1631	1235
569	1634	1232
570	1637	1229
571	1639	1227
572	1642	1224
573	1645	1221
574	1648	1218
575	1651	1215
576	1653	1212
577	1656	1209
578	1659	1206
579	1662	1203
580	1665	1200
581	1668	1198
582	1671	1195
583	1674	1192
584	1677	1189
585	1680	1186
586	1682	1184
587	1685	1181
588	1688	1178
589	1690	1175
590	1694	1172
591	1696	1169
592	1699	1166
593	1702	1163
594	1704	1160
595	1707	1157
596	1710	1154
597	1713	1151
598	1715	1148
599	1718	1145
600	1721	1142
601	1724	1139
602	1726	1136
603	1729	1133
604	1732	1131
605	1735	1128
606	1737	1125
607	1740	1122
608	1743	1119
609	1746	1116
610	1749	1113
611	1751	1110
612	1754	1107
613	1757	1105
614	1760	1102
615	1763	1099
616	1765	1096
617	1768	1093
618	1771	1090
619	1774	1087
620	1777	1084
621	1779	1081
622	1782	1078
623	1785	1075
624	1788	1072
625	1791	1070
626	1793	1067
627	1796	1064
628	1799	1061
629	1801	1058
630	1804	1055
631	1807	1052
632	1810	1049
633	1812	1046
634	1815	1043
635	1818	1040
636	1821	1037
637	1823	1034
638	1826	1031
639	1829	1028
640	1831	1025
641	1834	1023
642	1837	1020
643	1840	1017
644	1843	1014
645	1846	1011
646	1848	1008
647	1851	1005
648	1854	1002
649	1857	1000
650	1859	997
651	1862	994
652	1865	991
653	1867	988
654	1870	985
655	1873	982
656	1876	979
657	1879	976
658	1881	973
659	1884	970
660	1887	968
661	1890	965
662	1892	962
663	1895	959
664	1898	956
665	1901	953
666	1904	950
667	1907	947
668	1909	944
669	1912	941
670	1915	939
671	1917	936
672	1920	933
673	1923	930
674	1926	927
675	1929	924
676	1931	921
677	1934	918
678	1937	916
679	1940	913
680	1943	910
681	1945	907
682	1948	904
683	1951	901
684	1954	898
685	1956	895
686	1959	892
687	1962	889
688	1964	886
689	1967	883
690	1970	881
691	1973	878
692	1975	875
693	1978	872
694	1981	869
695	1984	866
696	1987	863
697	1989	860
698	1992	857
699	1995	855
700	1997	852
701	2000	849
702	2003	846
703	2006	843
704	2008	840
705	2011	837
706	2014	834
707	2017	831
708	2019	828
709	2022	826
710	2025	823
711	2027	820
712	2030	817
713	2033	814
714	2036	811
715	2039	808
716	2042	805
717	2044	803
718	2047	800
719	2050	797
720	2053	794
721	2055	791
722	2058	788
723	2061	785
724	2064	783
725	2067	780
726	2069	777
727	2073	774
728	2076	771
729	2078	768
730	2081	766
731	2084	763
732	2087	760
733	2089	757
734	2092	754
735	2095	751
736	2098	748
737	2101	745
738	2103	742
739	2106	740
740	2109	737
741	2111	734
742	2114	731
743	2117	728
744	2119	725
745	2122	722
746	2125	719
747	2128	716
748	2131	714
749	2133	711
750	2136	708
751	2139	705
752	2141	702
753	2145	699
754	2147	696
755	2150	694
756	2153	691
757	2155	688
758	2158	685
759	2161	682
760	2164	679
761	2166	676
762	2169	673
763	2172	670
764	2174	668
765	2178	665
766	2180	662
767	2183	659
768	2186	656
769	2188	653
770	2191	650
771	2194	648
772	2197	645
773	2199	642
774	2202	639
775	2205	636
776	2207	633
777	2210	630
778	2213	627
779	2216	625
780	2218	622
781	2221	619
782	2224	616
783	2227	613
784	2229	610
785	2232	607
786	2235	604
787	2237	602
788	2240	599
789	2243	596
790	2246	593
791	2249	590
792	2251	587
793	2254	584
794	2257	582
795	2260	579
796	2262	576
797	2265	573
798	2268	570
799	2270	567
800	2274	565
801	2277	562
802	2279	559
803	2282	556
804	2285	553
805	2288	550
806	2291	547
807	2293	545
808	2296	542
809	2299	539
810	2301	536
811	2304	533
812	2307	530
813	2309	527
814	2312	524
815	2315	522
816	2317	519
817	2320	516
818	2323	513
819	2326	510
820	2329	507
821	2331	504
822	2334	502
823	2337	499
824	2340	496
825	2342	493
826	2345	490
827	2348	487
828	2350	484
829	2353	482
830	2356	479
831	2358	476
832	2361	473
833	2364	470
834	2367	467
835	2370	464
836	2373	462
837	2375	459
838	2378	456
839	2381	453
840	2383	450
841	2387	447
842	2390	445
843	2392	442
844	2395	439
845	2398	436
846	2400	433
847	2403	430
848	2406	427
849	2409	425
850	2412	422
851	2414	419
852	2417	416
853	2420	413
854	2423	411
855	2426	408
856	2428	405
857	2431	402
858	2434	399
859	2437	396
860	2439	393
861	2442	391
862	2445	388
863	2447	385
864	2450	382
865	2453	379
866	2457	376
867	2460	374
868	2462	371
869	2465	368
870	2468	365
871	2471	362
872	2474	359
873	2476	357
874	2479	354
875	2482	351
876	2485	348
877	2487	345
878	2490	342
879	2493	339
880	2495	337
881	2498	334
882	2501	331
883	2504	328
884	2507	325
885	2509	322
886	2512	320
887	2515	317
888	2518	314
889	2520	311
890	2523	308
891	2526	305
892	2528	303
893	2531	300
894	2534	297
895	2537	294
896	2539	291
897	2542	288
898	2545	285
899	2548	283
900	2551	280
901	2554	277
902	2556	274
903	2559	271
904	2562	268
905	2564	266
906	2567	263
907	2570	260
908	2573	257
909	2576	254
910	2578	251
911	2581	249
912	2584	246
913	2587	243
914	2590	240
915	2592	237
916	2595	234
917	2598	232
918	2600	229
919	2603	226
920	2606	223
921	2608	220
922	2611	217
923	2614	215
924	2617	212
925	2620	209
926	2622	206
927	2625	203
928	2628	200
929	2631	198
930	2633	195
931	2636	192
932	2639	189
933	2642	186
934	2645	183
935	2648	181
936	2650	178
937	2653	175
938	2656	172
939	2658	169
940	2662	166
941	2664	164
942	2667	161
943	2670	158
944	2672	155
945	2675	152
946	2678	149
947	2681	147
948	2683	144
949	2686	141
950	2689	138
951	2691	135
952	2694	132
953	2697	130
954	2700	127
955	2703	124
956	2705	121
957	2708	118
958	2711	115
959	2714	113
960	2716	110
961	2719	107
962	2722	104
963	2724	101
964	2727	98
965	2730	96
966	2733	93
967	2735	90
968	2738	87
969	2741	84
970	2744	81
971	2746	79
972	2749	76
973	2752	73
974	2754	70
975	2757	67
976	2760	64
977	2763	62
978	2765	59
979	2768	56
980	2771	53
981	2774	50
982	2777	48
983	2779	45
984	2782	42
985	2784	39
986	2787	36
987	2790	33
988	2793	31
989	2796	28
990	2798	25
991	2801	22
992	2804	19
993	2806	16
994	2809	14
995	2812	11
996	2815	8
997	2817	5
998	2820	2
999	2823	0
